vote_date,vote_type_id,vote_count
2022-08-04,5,3245
2022-08-04,8,51
2022-08-04,9,51
2022-08-04,10,2801
2022-08-04,11,103
2022-08-04,12,38
2022-08-04,15,264
2022-08-04,16,234
2022-08-05,1,1658
2022-08-05,2,35319
2022-08-05,3,5737
2022-08-05,4,19
2022-08-05,5,2946
2022-08-05,8,44
2022-08-05,9,42
2022-08-05,10,2383
2022-08-05,11,103
2022-08-05,12,57
2022-08-05,15,160
2022-08-05,16,227
2022-08-06,1,1030
2022-08-06,2,19556
2022-08-06,3,3728
2022-08-06,4,1
2022-08-06,5,1710
2022-08-06,8,44
2022-08-06,9,42
2022-08-06,10,1546
2022-08-06,11,74
2022-08-06,12,18
2022-08-06,15,148
2022-08-06,16,186
2022-08-07,1,1053
2022-08-07,2,19788
2022-08-07,3,3953
2022-08-07,4,6
2022-08-07,5,1814
2022-08-07,8,49
2022-08-07,9,32
2022-08-07,10,1676
2022-08-07,11,71
2022-08-07,12,13
2022-08-07,15,109
2022-08-07,16,270
2022-08-08,1,1880
2022-08-08,2,37355
2022-08-08,3,5644
2022-08-08,4,7
2022-08-08,5,2923
2022-08-08,8,98
2022-08-08,9,36
2022-08-08,10,2377
2022-08-08,11,88
2022-08-08,12,30
2022-08-08,15,259
2022-08-08,16,375
2022-08-09,1,1857
2022-08-09,2,39225
2022-08-09,3,5984
2022-08-09,5,2993
2022-08-09,8,47
2022-08-09,9,61
2022-08-09,10,2539
2022-08-09,11,100
2022-08-09,12,31
2022-08-09,15,205
2022-08-09,16,467
2022-08-10,1,1900
2022-08-10,2,41423
2022-08-10,3,6286
2022-08-10,4,7
2022-08-10,5,3099
2022-08-10,8,63
2022-08-10,9,50
2022-08-10,10,2582
2022-08-10,11,109
2022-08-10,12,31
2022-08-10,15,219
2022-08-10,16,426
2022-08-11,1,1963
2022-08-11,2,39378
2022-08-11,3,5468
2022-08-11,4,15
2022-08-11,5,3010
2022-08-11,8,63
2022-08-11,9,50
2022-08-11,10,2427
2022-08-11,11,102
2022-08-11,12,19
2022-08-11,15,214
2022-08-11,16,434
2022-08-12,1,1697
2022-08-12,2,35560
2022-08-12,3,5288
2022-08-12,4,5
2022-08-12,5,2739
2022-08-12,8,44
2022-08-12,9,58
2022-08-12,10,2294
2022-08-12,11,108
2022-08-12,12,52
2022-08-12,15,145
2022-08-12,16,351
2022-08-13,1,993
2022-08-13,2,18870
2022-08-13,3,3856
2022-08-13,4,4
2022-08-13,5,1617
2022-08-13,8,29
2022-08-13,9,36
2022-08-13,10,1700
2022-08-13,11,83
2022-08-13,12,23
2022-08-13,15,210
2022-08-13,16,315
2022-08-14,1,977
2022-08-14,2,19411
2022-08-14,3,3955
2022-08-14,4,3
2022-08-14,5,1703
2022-08-14,8,49
2022-08-14,9,46
2022-08-14,10,1679
2022-08-14,11,100
2022-08-14,12,20
2022-08-14,15,112
2022-08-14,16,203
2022-08-15,1,1633
2022-08-15,2,33745
2022-08-15,3,5283
2022-08-15,5,2641
2022-08-15,8,64
2022-08-15,9,51
2022-08-15,10,2349
2022-08-15,11,81
2022-08-15,12,24
2022-08-15,15,192
2022-08-15,16,309
2022-08-16,1,1913
2022-08-16,2,40430
2022-08-16,3,5853
2022-08-16,4,4
2022-08-16,5,2986
2022-08-16,8,48
2022-08-16,9,97
2022-08-16,10,2455
2022-08-16,11,120
2022-08-16,12,31
2022-08-16,15,255
2022-08-16,16,455
2022-08-17,1,1980
2022-08-17,2,41621
2022-08-17,3,6394
2022-08-17,4,9
2022-08-17,5,3229
2022-08-17,8,47
2022-08-17,9,51
2022-08-17,10,2626
2022-08-17,11,120
2022-08-17,12,47
2022-08-17,15,267
2022-08-17,16,383
2022-08-18,1,1947
2022-08-18,2,40185
2022-08-18,3,5988
2022-08-18,4,2
2022-08-18,5,3015
2022-08-18,8,54
2022-08-18,9,53
2022-08-18,10,2643
2022-08-18,11,123
2022-08-18,12,17
2022-08-18,15,200
2022-08-18,16,271
2022-08-19,1,1658
2022-08-19,2,35666
2022-08-19,3,5583
2022-08-19,4,2
2022-08-19,5,2774
2022-08-19,8,56
2022-08-19,9,50
2022-08-19,10,2429
2022-08-19,11,84
2022-08-19,12,29
2022-08-19,15,177
2022-08-19,16,334
2022-08-20,1,999
2022-08-20,2,19408
2022-08-20,3,4064
2022-08-20,5,1631
2022-08-20,8,33
2022-08-20,9,44
2022-08-20,10,1632
2022-08-20,11,76
2022-08-20,12,27
2022-08-20,15,111
2022-08-20,16,143
2022-08-21,1,1076
2022-08-21,2,20278
2022-08-21,3,3998
2022-08-21,4,4
2022-08-21,5,1753
2022-08-21,8,42
2022-08-21,9,42
2022-08-21,10,1650
2022-08-21,11,78
2022-08-21,12,14
2022-08-21,15,116
2022-08-21,16,251
2022-08-22,1,1819
2022-08-22,2,38755
2022-08-22,3,5739
2022-08-22,4,2
2022-08-22,5,2854
2022-08-22,8,84
2022-08-22,9,56
2022-08-22,10,2463
2022-08-22,11,101
2022-08-22,12,29
2022-08-22,15,156
2022-08-22,16,312
2022-08-23,1,1857
2022-08-23,2,40721
2022-08-23,3,6002
2022-08-23,4,21
2022-08-23,5,3117
2022-08-23,8,45
2022-08-23,9,68
2022-08-23,10,2887
2022-08-23,11,136
2022-08-23,12,27
2022-08-23,15,191
2022-08-23,16,247
2022-08-24,1,1843
2022-08-24,2,41790
2022-08-24,3,6062
2022-08-24,4,2
2022-08-24,5,3112
2022-08-24,8,60
2022-08-24,9,48
2022-08-24,10,2681
2022-08-24,11,117
2022-08-24,12,23
2022-08-24,15,152
2022-08-24,16,437
2022-08-25,1,1903
2022-08-25,2,40438
2022-08-25,3,5997
2022-08-25,4,4
2022-08-25,5,3194
2022-08-25,8,40
2022-08-25,9,51
2022-08-25,10,2508
2022-08-25,11,102
2022-08-25,12,34
2022-08-25,15,153
2022-08-25,16,399
2022-08-26,1,1622
2022-08-26,2,35976
2022-08-26,3,5587
2022-08-26,4,6
2022-08-26,5,2651
2022-08-26,8,50
2022-08-26,9,48
2022-08-26,10,2385
2022-08-26,11,126
2022-08-26,12,25
2022-08-26,15,187
2022-08-26,16,334
2022-08-27,1,1006
2022-08-27,2,19709
2022-08-27,3,3883
2022-08-27,4,2
2022-08-27,5,1670
2022-08-27,8,25
2022-08-27,9,40
2022-08-27,10,1602
2022-08-27,11,68
2022-08-27,12,20
2022-08-27,15,147
2022-08-27,16,213
2022-08-28,1,1088
2022-08-28,2,20010
2022-08-28,3,3967
2022-08-28,4,3
2022-08-28,5,1741
2022-08-28,8,40
2022-08-28,9,38
2022-08-28,10,1858
2022-08-28,11,69
2022-08-28,12,30
2022-08-28,15,162
2022-08-28,16,324
2022-08-29,1,1806
2022-08-29,2,37734
2022-08-29,3,5789
2022-08-29,4,5
2022-08-29,5,2828
2022-08-29,8,60
2022-08-29,9,41
2022-08-29,10,2610
2022-08-29,11,110
2022-08-29,12,23
2022-08-29,15,183
2022-08-29,16,388
2022-08-30,1,1809
2022-08-30,2,41013
2022-08-30,3,5994
2022-08-30,4,5
2022-08-30,5,3135
2022-08-30,8,50
2022-08-30,9,77
2022-08-30,10,2646
2022-08-30,11,117
2022-08-30,12,29
2022-08-30,15,103
2022-08-30,16,419
2022-08-31,1,1770
2022-08-31,2,40824
2022-08-31,3,5987
2022-08-31,4,6
2022-08-31,5,3097
2022-08-31,8,46
2022-08-31,9,41
2022-08-31,10,2436
2022-08-31,11,100
2022-08-31,12,27
2022-08-31,15,144
2022-08-31,16,425
